gid,role,role_score,cluster_id,priority_score,evidence,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,betweenness,pass_through,depth,is_seed,truncated_by_depth,active_days,data_quality
100000000011452100,consolidator,0.855,3,0.72349,"Правило: 3 входа или больше, входящих ≥1,5× исходящих; вход 3 / 110,000 KZT; выход 1 / 16,685 KZT; операций 7/2; дней 7",3,1,110000.0,16685.0,7,2,0.00048724516046489503,0.0,0.1516818181818182,1,False,False,7,1.0
100000000018102100,peripheral,0.4,3,0.074667,"Правило: глубина 4; продолжение вне обхода неизвестно; вход 1 / 7,000 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,7000.0,0.0,1,0,0.00031863672835150483,0.0,0.0,4,False,True,1,0.4125
100000000031787100,transit,0.94,13,0.721028,"Правило: есть вход и выход, отношение сумм 0,5–2; вход 1 / 90,000 KZT; выход 2 / 90,000 KZT; операций 2/4; дней 6",1,2,90000.0,90000.0,2,4,0.000428872134094593,0.0,1.0,2,False,False,6,1.0
100000000041368100,terminal,0.81,6,0.339016,"Правило: есть вход, выхода нет в пределах обхода; вход 1 / 160,000 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,160000.0,0.0,1,0,0.000315815838171106,0.0,0.0,1,False,False,1,0.75
100000000076451100,transit,0.820672,31,0.787585,"Правило: есть вход и выход, отношение сумм 0,5–2; вход 3 / 87,707 KZT; выход 4 / 58,000 KZT; операций 4/4; дней 6",3,4,87707.0,58000.0,4,4,0.0013836360145631236,1.7392030276046304e-05,0.661292713238396,2,False,False,6,1.0
100000000089154100,distributor,0.96,0,0.893809,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 1 / 10,000 KZT; выход 15 / 425,500 KZT; операций 1/21; дней 10",1,15,10000.0,425500.0,1,21,0.0002858991668113006,6.956812110418522e-06,42.55,1,False,False,10,1.0
100000000190228100,peripheral,0.55,13,0.43646,"Правило: пороги других ролей не выполнены; вход 1 / 5,000 KZT; выход 1 / 28,560 KZT; операций 1/1; дней 2",1,1,5000.0,28560.0,1,1,0.0005785577649691543,3.478406055209261e-06,5.712,2,False,False,2,1.0
100000000201868100,transit,0.92,2,0.701693,"Правило: есть вход и выход, отношение сумм 0,5–2; вход 1 / 190,000 KZT; выход 1 / 190,000 KZT; операций 1/1; дней 2",1,1,190000.0,190000.0,1,1,0.0009675202975326617,0.0,1.0,2,False,False,2,1.0
100000000254336100,transit,0.78087,3,0.721898,"Правило: есть вход и выход, отношение сумм 0,5–2; вход 2 / 97,177 KZT; выход 1 / 60,000 KZT; операций 2/1; дней 2",2,1,97177.0,60000.0,2,1,0.00029035716341177205,3.478406055209261e-06,0.6174300503205491,3,False,False,2,1.0
100000000267734100,distributor,0.96,13,0.81565,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 2 / 180,000 KZT; выход 7 / 282,000 KZT; операций 4/8; дней 8",2,7,180000.0,282000.0,4,8,0.0005339010101653401,0.0,1.5666666666666667,1,False,False,8,1.0
100000000274067100,distributor,0.855,13,0.813946,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 2 / 517,704 KZT; выход 3 / 2,969,000 KZT; операций 9/9; дней 13",2,3,517704.0,2969000.0,9,9,0.0004111733985334059,0.0,5.734937338710924,1,False,False,13,1.0
100000000287768100,terminal,0.81,3,0.27888,"Правило: есть вход, выхода нет в пределах обхода; вход 1 / 35,168 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,35168.0,0.0,1,0,0.0002871323369197517,0.0,0.0,3,False,False,1,0.75
100000000288317100,distributor,0.855,3,0.79583,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 2 / 100,000 KZT; выход 3 / 53,500 KZT; операций 2/3; дней 4",2,3,100000.0,53500.0,2,3,0.00031110423348209676,1.0435218165627783e-05,0.535,3,False,False,4,1.0
100000000291906100,transit,0.893497,38,0.861305,"Правило: есть вход и выход, отношение сумм 0,5–2; вход 2 / 388,000 KZT; выход 2 / 455,854 KZT; операций 3/6; дней 7",2,2,388000.0,455854.0,3,6,0.0007579521510436922,1.4023180317064107e-05,1.1748814432989692,2,False,False,7,1.0
100000000291908100,peripheral,0.55,38,0.581356,"Правило: пороги других ролей не выполнены; вход 1 / 295,500 KZT; выход 1 / 13,300 KZT; операций 5/1; дней 6",1,1,295500.0,13300.0,5,1,0.0007016679997512896,6.956812110418522e-06,0.045008460236886635,3,False,False,6,1.0
100000000297649100,transit,0.766066,11,0.619846,"Правило: есть вход и выход, отношение сумм 0,5–2; вход 1 / 40,000 KZT; выход 1 / 70,600 KZT; операций 1/2; дней 3",1,1,40000.0,70600.0,1,2,0.0008023949637653344,0.0,1.765,2,False,False,3,1.0
100000000299820100,peripheral,0.4,3,0.078062,"Правило: глубина 4; продолжение вне обхода неизвестно; вход 1 / 10,000 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,10000.0,0.0,1,0,0.00044754836607212615,0.0,0.0,4,False,True,1,0.4125
100000000307908100,terminal,0.81,32,0.216908,"Правило: есть вход, выхода нет в пределах обхода; вход 1 / 5,000 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,5000.0,0.0,1,0,0.0002955134613205828,0.0,0.0,2,False,False,1,0.75
100000000331309100,coordinator,0.978505,5,0.992551,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 5 / 984,635 KZT; выход 99 / 23,001,375 KZT; операций 8/126; дней 29",5,99,984635.0,23001375.0,8,126,0.0008697417448424854,0.00039305988423864646,23.360306103276848,2,False,False,29,1.0
100000000332284100,consolidator,0.96,0,0.910633,"Правило: 3 входа или больше, входящих ≥1,5× исходящих; вход 10 / 107,426 KZT; выход 3 / 289,500 KZT; операций 12/3; дней 10",10,3,107426.0,289500.0,12,3,0.000712719620124411,2.0870436331255566e-05,2.69487833485376,2,False,False,10,1.0
100000000343175100,coordinator,0.978007,6,0.888367,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 8 / 178,712 KZT; выход 31 / 4,000,039 KZT; операций 14/33; дней 13; seed: вход неполон",8,31,178712.0,4000039.0,14,33,0.0007097623526430853,0.000240010017809439,22.382598818210305,0,True,False,13,0.9
100000000369781100,peripheral,0.4,5,0.071594,"Правило: глубина 4; продолжение вне обхода неизвестно; вход 1 / 5,000 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,5000.0,0.0,1,0,0.0005293211788135443,0.0,0.0,4,False,True,1,0.4125
100000000375150100,peripheral,0.4,28,0.150222,"Правило: глубина 4; продолжение вне обхода неизвестно; вход 1 / 300,000 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,300000.0,0.0,1,0,0.0007407996187528904,0.0,0.0,4,False,True,1,0.4125
100000000404740100,peripheral,0.4,22,0.096802,"Правило: глубина 4; продолжение вне обхода неизвестно; вход 1 / 25,000 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,25000.0,0.0,1,0,0.0005545956253282398,0.0,0.0,4,False,True,1,0.4125
100000000408846100,terminal,0.81,23,0.284259,"Правило: есть вход, выхода нет в пределах обхода; вход 1 / 40,500 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,40500.0,0.0,1,0,0.0002941031336049203,0.0,0.0,3,False,False,1,0.75
100000000413678100,distributor,0.855,15,0.873877,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 2 / 306,500 KZT; выход 3 / 528,198 KZT; операций 2/18; дней 15",2,3,306500.0,528198.0,2,18,0.0002990571290801796,1.0435218165627783e-05,1.723321370309951,3,False,False,15,1.0
100000000424935100,peripheral,0.4,17,0.084232,"Правило: глубина 4; продолжение вне обхода неизвестно; вход 1 / 15,000 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,15000.0,0.0,1,0,0.00029977394060157664,0.0,0.0,4,False,True,1,0.4125
100000000425407100,terminal,0.81,0,0.252273,"Правило: есть вход, выхода нет в пределах обхода; вход 1 / 20,000 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,20000.0,0.0,1,0,0.00030343252795552334,0.0,0.0,2,False,False,1,0.75
100000000437046100,coordinator,0.979377,3,0.991845,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 9 / 1,107,200 KZT; выход 42 / 7,606,224 KZT; операций 20/73; дней 21",9,42,1107200.0,7606224.0,20,73,0.0007875359273973335,0.0007304652715939447,6.86978323699422,2,False,False,21,1.0
100000000440392100,terminal,0.9,2,0.500913,"Правило: есть вход, выхода нет в пределах обхода; вход 1 / 105,705 KZT; выход 0 / 0 KZT; операций 4/0; дней 4",1,0,105705.0,0.0,4,0,0.0002953277236341933,0.0,0.0,1,False,False,4,1.0
100000000456947100,peripheral,0.75,47,0.019203,Правило: наблюдаемых связей нет; вход 0 / 0 KZT; выход 0 / 0 KZT; операций 0/0; дней 0; seed: вход неполон,0,0,0.0,0.0,0,0,0.0002840372855543713,0.0,0.0,0,True,False,0,0.2
100000000470237100,peripheral,0.4,17,0.104027,"Правило: глубина 4; продолжение вне обхода неизвестно; вход 1 / 32,500 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,32500.0,0.0,1,0,0.0005840770883738318,0.0,0.0,4,False,True,1,0.4125
100000000481716100,terminal,0.81,8,0.223789,"Правило: есть вход, выхода нет в пределах обхода; вход 1 / 8,000 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,8000.0,0.0,1,0,0.00037496698458435595,0.0,0.0,3,False,False,1,0.75
100000000489417100,consolidator,0.815,0,0.703283,"Правило: 3 входа или больше, входящих ≥1,5× исходящих; вход 3 / 73,504 KZT; выход 1 / 80,000 KZT; операций 3/1; дней 2",3,1,73504.0,80000.0,3,1,0.0005484753138399151,0.0,1.0883761427949499,2,False,False,2,1.0
100000000490383100,distributor,0.96,2,0.897334,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 3 / 62,600 KZT; выход 8 / 461,375 KZT; операций 3/9; дней 9",3,8,62600.0,461375.0,3,9,0.00054477044206397,6.956812110418522e-06,7.37020766773163,2,False,False,9,1.0
100000000500040100,peripheral,0.4,0,0.091044,"Правило: глубина 4; продолжение вне обхода неизвестно; вход 1 / 20,000 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,20000.0,0.0,1,0,0.0003043843785958833,0.0,0.0,4,False,True,1,0.4125
100000000507799100,transit,0.791904,2,0.576569,"Правило: есть вход и выход, отношение сумм 0,5–2; вход 1 / 5,132 KZT; выход 1 / 8,000 KZT; операций 1/1; дней 2",1,1,5132.0,8000.0,1,1,0.0002845854386996875,2.0870436331255566e-05,1.558846453624318,1,False,False,2,1.0
100000000533217100,terminal,0.81,0,0.298731,"Правило: есть вход, выхода нет в пределах обхода; вход 1 / 53,587 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,53587.0,0.0,1,0,0.0006484520185412077,0.0,0.0,2,False,False,1,0.75
100000000534581100,transit,0.833121,0,0.716827,"Правило: есть вход и выход, отношение сумм 0,5–2; вход 2 / 55,960 KZT; выход 1 / 40,000 KZT; операций 2/1; дней 3",2,1,55960.0,40000.0,2,1,0.00029682122595489006,3.478406055209261e-06,0.7147962830593281,3,False,False,3,1.0
100000000542087100,peripheral,0.4,5,0.075814,"Правило: глубина 4; продолжение вне обхода неизвестно; вход 1 / 8,507 KZT; выход 0 / 0 KZT; операций 1/0; дней 1",1,0,8506.91,0.0,1,0,0.0002848770458766195,0.0,0.0,4,False,True,1,0.4125
