rank,gid,role,priority_score,why
1,100000000331309100,coordinator,0.992551,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 5 / 984,635 KZT; выход 99 / 23,001,375 KZT; операций 8/126; дней 29"
2,100000000437046100,coordinator,0.991845,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 9 / 1,107,200 KZT; выход 42 / 7,606,224 KZT; операций 20/73; дней 21"
3,100000008603629100,coordinator,0.991684,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 19 / 1,817,300 KZT; выход 61 / 4,986,156 KZT; операций 45/74; дней 27"
4,100000005933757100,coordinator,0.987482,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 4 / 1,246,000 KZT; выход 34 / 3,002,628 KZT; операций 6/46; дней 15"
5,100000008547948100,coordinator,0.987478,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 6 / 212,665 KZT; выход 26 / 5,185,600 KZT; операций 7/31; дней 13"
6,100000005910114100,coordinator,0.981329,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 3 / 326,144 KZT; выход 19 / 1,469,993 KZT; операций 3/56; дней 20"
7,100000008547844100,coordinator,0.980367,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 3 / 177,600 KZT; выход 19 / 2,042,199 KZT; операций 3/21; дней 11"
8,100000004351795100,coordinator,0.980231,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 3 / 118,333 KZT; выход 14 / 1,715,161 KZT; операций 3/37; дней 19"
9,100000008346837100,coordinator,0.979242,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 9 / 254,359 KZT; выход 25 / 1,258,643 KZT; операций 12/26; дней 15"
10,100000004070318100,coordinator,0.964774,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 4 / 207,247 KZT; выход 19 / 551,860 KZT; операций 6/37; дней 17"
11,100000004400305100,distributor,0.956609,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 7 / 222,800 KZT; выход 82 / 5,830,181 KZT; операций 9/101; дней 22"
12,100000005527892100,coordinator,0.954216,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 3 / 220,001 KZT; выход 8 / 552,419 KZT; операций 3/8; дней 8"
13,100000008477350100,distributor,0.952739,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 11 / 610,100 KZT; выход 39 / 3,374,866 KZT; операций 14/44; дней 17"
14,100000008489922100,distributor,0.952361,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 3 / 262,010 KZT; выход 36 / 3,789,900 KZT; операций 5/41; дней 15"
15,100000008710791100,distributor,0.951148,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 3 / 181,510 KZT; выход 23 / 5,521,511 KZT; операций 3/25; дней 10"
16,100000003115284100,consolidator,0.950669,"Правило: 3 входа или больше, входящих ≥1,5× исходящих; вход 8 / 2,160,500 KZT; выход 2 / 517,000 KZT; операций 15/4; дней 6"
17,100000003528285100,coordinator,0.949153,"Правило: ≥2 входа и выхода, посредничество в верхних 10%; вход 4 / 118,870 KZT; выход 4 / 548,000 KZT; операций 5/6; дней 9"
18,100000003242289100,distributor,0.949091,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 3 / 550,791 KZT; выход 23 / 2,377,741 KZT; операций 8/26; дней 17"
19,100000001857829100,distributor,0.946967,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 6 / 888,535 KZT; выход 16 / 2,390,993 KZT; операций 9/16; дней 9"
20,100000008304139100,distributor,0.945988,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 4 / 189,330 KZT; выход 24 / 1,692,997 KZT; операций 4/43; дней 24"
21,100000007442518100,distributor,0.945899,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 5 / 510,000 KZT; выход 9 / 4,419,999 KZT; операций 8/12; дней 13"
22,100000004156082100,distributor,0.945644,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 5 / 377,366 KZT; выход 26 / 2,319,556 KZT; операций 7/29; дней 7"
23,100000007594394100,consolidator,0.944608,"Правило: 3 входа или больше, входящих ≥1,5× исходящих; вход 6 / 395,385 KZT; выход 1 / 3,376,312 KZT; операций 6/40; дней 19"
24,100000003880331100,distributor,0.943197,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 1 / 100,000 KZT; выход 16 / 3,904,908 KZT; операций 1/31; дней 8"
25,100000001530983100,distributor,0.942485,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 4 / 564,158 KZT; выход 11 / 1,829,538 KZT; операций 4/17; дней 12"
26,100000005704413100,distributor,0.941384,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 3 / 97,835 KZT; выход 32 / 1,363,593 KZT; операций 4/35; дней 12"
27,100000008466579100,distributor,0.940828,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 2 / 36,952 KZT; выход 17 / 1,933,000 KZT; операций 2/20; дней 9"
28,100000003854444100,distributor,0.940639,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 1 / 210,000 KZT; выход 14 / 2,322,909 KZT; операций 4/14; дней 10"
29,100000008710843100,distributor,0.940239,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 2 / 33,944 KZT; выход 13 / 1,985,500 KZT; операций 3/14; дней 12"
30,100000008465789100,distributor,0.939605,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 1 / 30,099 KZT; выход 16 / 1,858,100 KZT; операций 1/17; дней 7"
31,100000002957787100,distributor,0.938337,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 4 / 84,956 KZT; выход 34 / 1,276,154 KZT; операций 7/41; дней 8"
32,100000008743913100,distributor,0.937848,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 3 / 149,300 KZT; выход 13 / 1,850,600 KZT; операций 3/13; дней 6"
33,100000008512827100,distributor,0.937403,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 3 / 107,949 KZT; выход 10 / 1,944,500 KZT; операций 3/10; дней 8"
34,100000004906181100,distributor,0.935112,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 1 / 100,000 KZT; выход 7 / 2,473,418 KZT; операций 1/33; дней 13"
35,100000005578559100,distributor,0.933566,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 2 / 131,000 KZT; выход 21 / 893,164 KZT; операций 2/23; дней 12"
36,100000008517538100,distributor,0.93341,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 3 / 155,500 KZT; выход 17 / 1,439,000 KZT; операций 6/18; дней 13"
37,100000008742053100,distributor,0.933321,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 1 / 10,000 KZT; выход 12 / 2,789,000 KZT; операций 1/12; дней 7"
38,100000002963189100,distributor,0.932765,"Правило: ≥3 выхода, seed или исходящих ≥1,5× входящих; вход 1 / 490,000 KZT; выход 7 / 5,219,000 KZT; операций 3/15; дней 7"
